data,codigo,simbolo,tipo,compra,venda
1122023,220,A,USD,"4,9185","4,9191"
4122023,220,A,USD,"4,9085","4,9091"
5122023,220,A,USD,"4,9516","4,9522"
6122023,220,A,USD,"4,9025","4,9031"
7122023,220,A,USD,"4,8943","4,8949"
8122023,220,A,USD,"4,9152","4,9158"
11122023,220,A,USD,"4,9434","4,944"
12122023,220,A,USD,"4,947","4,9476"
13122023,220,A,USD,"4,9573","4,958"
14122023,220,A,USD,"4,8906","4,8912"
15122023,220,A,USD,"4,9391","4,9397"
18122023,220,A,USD,"4,9393","4,9399"
19122023,220,A,USD,"4,8657","4,8663"
20122023,220,A,USD,"4,876","4,8766"
21122023,220,A,USD,"4,8749","4,8755"
22122023,220,A,USD,"4,8613","4,8619"
26122023,220,A,USD,"4,8362","4,8368"
27122023,220,A,USD,"4,83","4,8306"
28122023,220,A,USD,"4,8407","4,8413"
29122023,220,A,USD,"4,8407","4,8413"
2012024,220,A,USD,"4,891","4,8916"
3012024,220,A,USD,"4,9206","4,9212"
4012024,220,A,USD,"4,9182","4,9188"
5012024,220,A,USD,"4,8893","4,8899"
8012024,220,A,USD,"4,8844","4,885"
9012024,220,A,USD,"4,8931","4,8937"
10012024,220,A,USD,"4,8895","4,8901"
11012024,220,A,USD,"4,8788","4,8794"
12012024,220,A,USD,"4,8537","4,8543"
15012024,220,A,USD,"4,8759","4,8765"
16012024,220,A,USD,"4,9032","4,9038"
17012024,220,A,USD,"4,934","4,9346"
18012024,220,A,USD,"4,9397","4,9403"
19012024,220,A,USD,"4,9217","4,9223"
22012024,220,A,USD,"4,9484","4,949"
23012024,220,A,USD,"4,9709","4,9715"
24012024,220,A,USD,"4,9186","4,9192"
25012024,220,A,USD,"4,9226","4,9232"
26012024,220,A,USD,"4,9119","4,9125"
29012024,220,A,USD,"4,9219","4,9225"
30012024,220,A,USD,"4,9632","4,9638"
31012024,220,A,USD,"4,9529","4,9535"
1022024,220,A,USD,"4,9344","4,935"
2022024,220,A,USD,"4,9465","4,9471"
5022024,220,A,USD,"5,0047","5,0053"
6022024,220,A,USD,"4,9681","4,9687"
